title,sub-title,ref,new_price,reserved_status,geo
No name,Yellow Diamond 12.15 CT Fancy Yellow/VVS2 Ring,12.15 ct fancy ellow,145000,,Москва
De Beers,EMERALD DIAMOND RING 10.88 CT D/FL,С98953,Цена по запросу,,Москва
No name,DIAMOND 10.13 CT F/VVS2 EXEX (GIA),10.13CTF/VVS2,Цена по запросу,,Москва
No name,DIAMOND RING 7.02 CT E/VS2 (GIA),7.02 E/VS2 GIA,Цена по запросу,,Москва
No name,"С БРИЛЛИАНТОМ ""GRAFF"" 18.48 CT FY/VS1",18.48 CT FY/VS1,Цена по запросу,,Москва
Messika,MY TWIN MONO CLIP,07442-WG,2250,,Москва
DeRosa,CITRINE 300.0 CT NECKLACE,27481173,28000,,Москва
No name,ROUND DIAMOND RING 1.59 CT H/VVS2 (HRD),NNR1.59CT H/VVS2 (HRD),9700,,Москва
No name,RADIANT DIAMOND 1.03 CT U-V/SI RING,1.03CT U-V/SI,3950,,Москва
No name,HEART DIAMOND 2.01 CT G/VS2 PENDANT(GIA),NNP2.01G/VS2NN,20800,,Москва
No name,HEART DIAMOND 1.50 CT F/VS1 PENDANT (GIA),422NN1.50F/VS1,11500,,Москва
Bvlgari,SERPENTI RING (SIZE 54),355339-54,26730,,Москва
Chopard,YELLOW GOLD HAPPY DIAMONDS EARRINGS,83A017-0301,3680,,Москва
Graff,TILDA’S BOW PAVÉ DIAMOND STUD EARRINGS,RGE1408,10650,,Москва
Cartier,PANTHÈRE DE CARTIER RING (SIZE 56),B4099556,7950,,Москва
Cartier,"LOVE BRACELET FULL PAVE, ROSE GOLD (SIZE 20)",CRN6036920,36900,,Москва
Cartier,"JUSTE UN CLOU BRACELET, SMALL MODEL, PINK GOLD (SIZE 18)",B6062518,3300,,Москва
Cartier,"CLASH DE CARTIER BRACELET, MEDIUM MODEL (SIZE 17)",B6065217,10750,,Москва
Cartier,"CLASH DE CARTIER RING, SMALL MODEL (SIZE 53)",B4229853,2850,,Москва
Cartier,"CLASH DE CARTIER RING, SMALL MODEL (SIZE 55)",B4233055,2900,,Москва
Cartier,"JUSTE UN CLOU RING, WHITE GOLD, SMALL MODEL (SIZE 52)",B4226052,1620,,Москва
Crivelli,КОЛЬЦО С БРИЛЛИАНТОМ 1.51 СТ FANCY YELLOW/VS1,000-4911ns,24740,,ТЦ РигаМолл
Crivelli,"КРЕСТ С БРИЛЛИАНТАМИ 0,81 СТ",000-5210ns/69204545,6675,,ТЦ РигаМолл
Crivelli,"КРЕСТ С БРИЛЛИАНТАМИ 0,26 СТ",024-1978-A,1530,,ТЦ РигаМолл
Crivelli,"КРЕСТ С БРИЛЛИАНТАМИ 0,35 СТ",024-1978-A,1780,,ТЦ РигаМолл
Crivelli,"СЕРЬГИ С БРИЛЛИАНТАМИ 1,13 СТ И ИЗУМРУДАМИ 1,40 СТ",024-2037/71538305,9340,,ТЦ РигаМолл
Crivelli,"КОЛЬЦО С БРИЛЛИАНТАМИ 0,45 СТ И ИЗУМРУДОМ 0,57 СТ",024-2064,3925,,ТЦ РигаМолл
Crivelli,СЕРЬГИ С ОНИКСОМ 3.50 СТ И БРИЛЛИАНТАМИ 0.30 СТ,000-4803-204,3005,,ТЦ РигаМолл
